"question_id","category","answer","question"
1,"Array Methods","{filter(),filter}","This array method will iterate through an array and return an array containing only the items that pass a provided boolean condition."
2,"Array Methods","{includes(),includes}","This string method is used to check if a substring exists within another string."
3,"Array Methods","{map(),map}","This array method will iterate through each item in an array, perform an action on each item, and return a new array with each transformed item."
4,"Array Methods","{forEach(),forEach}","This array method will loop through each item in an array, perform an action on each item, and mutate the original array."
5,"Array Methods","{reduce(),reduce}","This array method will iterate through each item in an array, and through an inital value and an accumulator returns one value."
6,"Array Methods","{sort(),sort}","This array method can be used to organize and mutate an array, for example ascending numerically or alphabetically."
7,"Array Methods","{includes(),includes}","This array method checks if a specified item exists in an array and returns a boolean value."
8,"Array Methods","{find(),find}","This array method takes a testing function as an argument and returns only the first item that passes the check."
9,"Array Methods","{indexOf(),indexOf}","This array method returns the number index of a specific item in an array, and -1 if it is not found."
10,"Array Methods","{concat(),concat}","This array method takes two or more arrays and returns a new merged array."
11,"Components","{""Class Component"",Class}","This implementation of a comopnent ```extends React.Component``` and uses ES6 classes."
12,"Components","{""Functional Component"",Functional}","This implementation of a component involves using a Javascript function."
13,"Components","{Props}","Users can pass and access data using this component attribute."
15,"Components","{""Higher-Order Component"",Higher-Order,""Higher Order""}","This is a function that takes a component and returns a new component, typically used to extract and reuse component logic."
16,"Components","{pure}","A React component is considrered this if it renders the same output for the same state and props."
17,"Components","{reusability}","This prevents the nuisance of repeating code and is one of the main attractions of using React and React components."
18,"Components","{forceUpdate(),forceUpdate}"," If your render() method depends on data other than state and props, you can tell React that the component needs re-rendering by calling this component method."
19,"Components","{constructor(),constructor}","This method is called and needed if you intialize state or need to bind methods in a class component."
20,"Components","{super(),super}","You should call this method with props as its parameter inside the constructor method to avoid this.props from being undefined."
21,"Components","{render(),render}","This is the only required method in a class component."
22,"Core","{JSX}","This is a HTML-like syntax that represents what the UI should look like in a React component."
23,"Core","{React}","This is a front-end JavaScript library that mainly follows the component-based approach for building user interface (UI) components for a single page application."
24,"Core","{ReactDOM}","This library of a React app compares the element to the previous render and ONLY applies necessary DOM updates."
25,"Core","{Component}","This feature of React allows users to split the UI into independent, reusable pieces."
26,"Core","{""React Hooks"",Hooks}","These are built-in functions that allow React developers to use state and lifecycle methods in React functional components."
27,"Core","{react-router,""react router""}","This is a library that allows us build and navigate through a single-page application in React."
28,"Core","{prototype}","This is the mechanism by which JavaScript objects inherit features from one another."
29,"Core","{inheritance}","An example of this concept involves every array having to the properties that include array methods through the prototype object."
30,"Core","{Redux}","This is a library used for managing and centralizing application state."
